Index	Quantity	Part Number	Manufacturer Part Number	Description	Ref
1	1	HS276-ND	529802B00000	HEATSINK TO-220 10W H=1.5" BLK	HS-1
2	1	568-7512-5-ND	PSMN022-30PL	MOSFET N-CH 30V TO220AB	Q`
3	1	MCP6004-I/SL-ND	MCP6004-I/SL	IC OPAMP GP 1MHZ RRO 14SOIC	IC1
4	1	MCP1525T-I/TTCT-ND	MCP1525T-I/TT	IC VREF SERIES 2.5V SOT23-3	VREF
5	1	HS419-ND	53-77-9G	THERMAL INTERFACE PAD	HS-1
6	1	311-1.30KFRCT-ND	RC1206FR-071K3L	RES SMD 1.3K OHM 1% 1/4W 1206	R8
7	1	311-402FRCT-ND	RC1206FR-07402RL	RES SMD 402 OHM 1% 1/4W 1206	R12
8	8	311-2.00KFRCT-ND	RC1206FR-072KL	RES SMD 2K OHM 1% 1/4W 1206	R2
9	1	311-3.00KFRCT-ND	RC1206FR-073KL	RES SMD 3K OHM 1% 1/4W 1206	R4
10	1	311-8.06KFRCT-ND	RC1206FR-078K06L	RES SMD 8.06K OHM 1% 1/4W 1206	R3
11	1	455-1707-ND	B5B-PH-K-S(LF)(SN)	CONN HEADER PH TOP 5POS 2MM	JP3
12	1	455-2688-ND	05KR-6H-P	CONN SOCKET 5POS 2MM IDC	JP3A
13	1	311-150FRCT-ND	RC1206FR-07150RL	RES SMD 150 OHM 1% 1/4W 1206	R10
14	1	311-82.0FRCT-ND	RC1206FR-0782RL	RES SMD 82 OHM 1% 1/4W 1206	R13
15	1	ED10561-ND	OSTVN02A150	CONN TERM BLOCK 2.54MM 2POS PCB	JP1
16	1	952-2121-ND	M20-9980346	DIL VERTICAL PC TAIL PIN HEADER	JP2
17	1	160-1456-1-ND	LTST-C230KGKT	LED GREEN CLEAR 1206 SMD	D2
18	1	160-1457-1-ND	LTST-C230KRKT	LED RED CLEAR 1206 SMD	D3
19	1	311-120FRCT-ND	 RC1206FR-07120RL 	RES SMD 120 OHM 1% 1/4W 1206	R7
20	1	A26228-ND 	382811-8 	Jumpers	-
